Metabolite,HMDB ID,ref,primary,recurrent
TG(16:0_32:0),"HMDB0005356, HMDB0010413, HMDB0103528, HMDB0103529, HMDB0103584, HMDB0103585, HMDB0103586, HMDB0103587, HMDB0103676, HMDB0103677, HMDB0103678, HMDB0103679, HMDB0103680, HMDB0103681, HMDB0103682, HMDB0103683, HMDB0103826, HMDB0103827, HMDB0103828, HMDB0103829, HMDB0103830, HMDB0103831, HMDB0103832, HMDB0103833, HMDB0103834, HMDB0103835, HMDB0103836, HMDB0103837, HMDB0103959, HMDB0103960, HMDB0103961, HMDB0103962, HMDB0103963, HMDB0103964, HMDB0103965, HMDB0104092, HMDB0104093, HMDB0104094, HMDB0104095, HMDB0104096, HMDB0104097, HMDB0104098, HMDB0104099, HMDB0104100, HMDB0104101, HMDB0104102, HMDB0104103, HMDB0104104, HMDB0104105, HMDB0104106, HMDB0104107, HMDB0104108, HMDB0104109, HMDB0104209, HMDB0104210, HMDB0104211, HMDB0104212, HMDB0104213, HMDB0104329, HMDB0104330, HMDB0104331, HMDB0104332, HMDB0104333, HMDB0104334, HMDB0104335, HMDB0104336, HMDB0104337, HMDB0104338, HMDB0104339, HMDB0104340, HMDB0104341, HMDB0104342, HMDB0104343, HMDB0104344, HMDB0104345, HMDB0104346, HMDB0104477, HMDB0104478, HMDB0104479, HMDB0104480, HMDB0104481, HMDB0104482, HMDB0104483, HMDB0104484, HMDB0104578, HMDB0104579, HMDB0104580, HMDB0104581, HMDB0104582, HMDB0104583, HMDB0104584, HMDB0104585, HMDB0104586, HMDB0104587, HMDB0104588, HMDB0104589, HMDB0104686, HMDB0104687, HMDB0104688, HMDB0104689, HMDB0104690, HMDB0104691, HMDB0104692, HMDB0104693, HMDB0104969, HMDB0104970, HMDB0104971, HMDB0104972, HMDB0105078, HMDB0105079",0.1601,22.3549,36.0947
TG(16:0_32:1),"HMDB0005359, HMDB0010414, HMDB0043836, HMDB0043918, HMDB0044026, HMDB0044053",0.1795,19.9589,25.0582
TG(16:0_32:2),"HMDB0005376, HMDB0010415, HMDB0044032, HMDB0044033, HMDB0044086, HMDB0044114",0.0446,13.4064,18.3578
TG(16:0_32:3),"HMDB0043843, HMDB0043850, HMDB0044038, HMDB0044254",0.0617,1.7618,3.7279
TG(16:0_33:1),"HMDB0043864, HMDB0043865",0.0572,6.0226,12.5001
TG(16:0_33:2),HMDB0043870,0.1158,4.0006,3.1066
TG(16:0_34:0),"HMDB0005357, HMDB0043831, HMDB0043913, HMDB0103588, HMDB0103589, HMDB0103696, HMDB0103697, HMDB0103698, HMDB0103699, HMDB0103700, HMDB0103701, HMDB0103702, HMDB0103703, HMDB0103850, HMDB0103851, HMDB0103852, HMDB0103853, HMDB0103854, HMDB0103855, HMDB0103856, HMDB0103857, HMDB0103858, HMDB0103859, HMDB0103860, HMDB0103861, HMDB0103862, HMDB0103863, HMDB0103864, HMDB0103865, HMDB0103866, HMDB0103867, HMDB0103974, HMDB0103975, HMDB0103976, HMDB0103977, HMDB0103978, HMDB0103979, HMDB0103980, HMDB0104121, HMDB0104122, HMDB0104123, HMDB0104124, HMDB0104125, HMDB0104126, HMDB0104127, HMDB0104128, HMDB0104129, HMDB0104130, HMDB0104131, HMDB0104132, HMDB0104226, HMDB0104227, HMDB0104228, HMDB0104229, HMDB0104230, HMDB0104231, HMDB0104232, HMDB0104353, HMDB0104354, HMDB0104355, HMDB0104356, HMDB0104357, HMDB0104358, HMDB0104359, HMDB0104360, HMDB0104361, HMDB0104362, HMDB0104363, HMDB0104364, HMDB0104365, HMDB0104366, HMDB0104367, HMDB0104368, HMDB0104369, HMDB0104370, HMDB0104497, HMDB0104498, HMDB0104499, HMDB0104500, HMDB0104598, HMDB0104599, HMDB0104600, HMDB0104601, HMDB0104602, HMDB0104603, HMDB0104604, HMDB0104605, HMDB0104606, HMDB0104607, HMDB0104608, HMDB0104609, HMDB0104706, HMDB0104707, HMDB0104708, HMDB0104709, HMDB0104710, HMDB0104711, HMDB0104712, HMDB0104713, HMDB0104815, HMDB0104816, HMDB0104817, HMDB0104818, HMDB0104819, HMDB0104820, HMDB0104821, HMDB0104822, HMDB0104823, HMDB0104824, HMDB0104825, HMDB0104826, HMDB0104827, HMDB0104828, HMDB0104829, HMDB0104830, HMDB0104831, HMDB0104832, HMDB0104973, HMDB0104974, HMDB0104975, HMDB0104976, HMDB0104977, HMDB0104978, HMDB0104979, HMDB0104980, HMDB0105080, HMDB0105081",0.0352,5.4826,13.9495
TG(16:0_34:1),"HMDB0005360, HMDB0005374, HMDB0010416, HMDB0043838, HMDB0043919, HMDB0043946, HMDB0044027, HMDB0044081, HMDB0044109",0.0736,58.2863,106.0269
TG(16:0_34:2),"HMDB0005362, HMDB0005377, HMDB0043844, HMDB0044034, HMDB0044060, HMDB0044087, HMDB0044115, HMDB0044142, HMDB0044249",0.0596,67.5507,113.8834
TG(16:0_34:3),"HMDB0005379, HMDB0010417, HMDB0043839, HMDB0043845, HMDB0043899, HMDB0044040, HMDB0044255, HMDB0044277, HMDB0044310, HMDB0044473",0.0208,17.7002,27.4786
TG(16:0_34:4),"HMDB0043846, HMDB0043852, HMDB0043907, HMDB0044035, HMDB0044041, HMDB0044067, HMDB0044074, HMDB0044170, HMDB0044283, HMDB0044338, HMDB0044479, HMDB0044501",0.0105,2.589,3.8521
TG(16:0_35:1),HMDB0043866,0.0258,3.863,5.005
TG(16:0_35:2),HMDB0043872,0.0477,4.1528,6.9189
TG(16:0_35:3),"HMDB0043867, HMDB0043873",0.0431,1.8686,3.103
TG(16:0_36:2),"HMDB0005369, HMDB0005378, HMDB0005382, HMDB0043847, HMDB0043900, HMDB0044036, HMDB0044088, HMDB0044089, HMDB0044116, HMDB0044143, HMDB0044198, HMDB0044250, HMDB0044305",0.0255,105.4168,180.8989
TG(16:0_36:3),"HMDB0005384, HMDB0043895, HMDB0043901, HMDB0043927, HMDB0043934, HMDB0044043, HMDB0044068, HMDB0044094, HMDB0044165, HMDB0044256, HMDB0044257, HMDB0044278, HMDB0044311, HMDB0044333, HMDB0044394, HMDB0044474",0.1247,139.9073,226.684
TG(16:0_36:4),"HMDB0005363, HMDB0005390, HMDB0043848, HMDB0043908, HMDB0043935, HMDB0044063, HMDB0044069, HMDB0044095, HMDB0044102, HMDB0044123, HMDB0044130, HMDB0044171, HMDB0044284, HMDB0044285, HMDB0044339, HMDB0044361, HMDB0044480, HMDB0044481, HMDB0044502, HMDB0044529",0.1133,65.367,103.0606
TG(16:0_36:5),"HMDB0005380, HMDB0043849, HMDB0043854, HMDB0043909, HMDB0044044, HMDB0044076, HMDB0044103, HMDB0044131, HMDB0044263, HMDB0044270, HMDB0044290, HMDB0044367, HMDB0044422, HMDB0044486, HMDB0044508, HMDB0044509, HMDB0044535, HMDB0044557",0.0664,11.1925,18.2872
TG(16:0_36:6),"HMDB0043855, HMDB0044045, HMDB0044050, HMDB0044077, HMDB0044271, HMDB0044291, HMDB0044298, HMDB0044450, HMDB0044487, HMDB0044494, HMDB0044514, HMDB0044563, HMDB0044590",0.0348,0.5393,1.8237
TG(16:0_38:1),"HMDB0005368, HMDB0005381, HMDB0043841, HMDB0043896, HMDB0043948, HMDB0043949, HMDB0043975, HMDB0044002, HMDB0044029, HMDB0044056, HMDB0044083, HMDB0044138, HMDB0044193",0.0741,1.278,1.0469
TG(16:0_38:2),"HMDB0005383, HMDB0005388, HMDB0043903, HMDB0043928, HMDB0043954, HMDB0044037, HMDB0044064, HMDB0044090, HMDB0044144, HMDB0044145, HMDB0044199, HMDB0044226, HMDB0044306, HMDB0044389",0.1631,1.0561,1.8121
TG(16:0_38:3),"HMDB0005389, HMDB0043923, HMDB0043929, HMDB0043955, HMDB0043962, HMDB0044071, HMDB0044096, HMDB0044124, HMDB0044150, HMDB0044166, HMDB0044279, HMDB0044312, HMDB0044313, HMDB0044334, HMDB0044395, HMDB0044475",0.0109,2.727,3.3498
TG(16:0_38:4),"HMDB0005370, HMDB0043904, HMDB0043936, HMDB0043963, HMDB0044091, HMDB0044097, HMDB0044119, HMDB0044125, HMDB0044151, HMDB0044158, HMDB0044172, HMDB0044173, HMDB0044264, HMDB0044286, HMDB0044318, HMDB0044340, HMDB0044341, HMDB0044362, HMDB0044417, HMDB0044482, HMDB0044503, HMDB0044530",0.04,2.3426,4.8721
TG(16:0_38:5),"HMDB0005385, HMDB0043905, HMDB0043910, HMDB0043937, HMDB0044072, HMDB0044098, HMDB0044104, HMDB0044132, HMDB0044159, HMDB0044178, HMDB0044259, HMDB0044265, HMDB0044292, HMDB0044319, HMDB0044326, HMDB0044346, HMDB0044368, HMDB0044369, HMDB0044423, HMDB0044445, HMDB0044488, HMDB0044510, HMDB0044536, HMDB0044537, HMDB0044558, HMDB0044585",0.0394,2.649,5.174
TG(16:0_38:6),"HMDB0005391, HMDB0010418, HMDB0044073, HMDB0044078, HMDB0044105, HMDB0044133, HMDB0044179, HMDB0044186, HMDB0044272, HMDB0044287, HMDB0044293, HMDB0044327, HMDB0044347, HMDB0044354, HMDB0044374, HMDB0044451, HMDB0044483, HMDB0044489, HMDB0044516, HMDB0044542, HMDB0044564, HMDB0044565, HMDB0044591, HMDB0044613",0.0766,1.2307,3.0847
TG(16:0_38:7),"HMDB0044079, HMDB0044187, HMDB0044273, HMDB0044294, HMDB0044300, HMDB0044355, HMDB0044375, HMDB0044382, HMDB0044490, HMDB0044496, HMDB0044511, HMDB0044517, HMDB0044543, HMDB0044550, HMDB0044570, HMDB0044619",0.0196,0.8486,2.0766
TG(16:0_40:6),"HMDB0043939, HMDB0044101, HMDB0044106, HMDB0044129, HMDB0044134, HMDB0044161, HMDB0044175, HMDB0044181, HMDB0044268, HMDB0044322, HMDB0044328, HMDB0044343, HMDB0044349, HMDB0044376, HMDB0044411, HMDB0044430, HMDB0044452, HMDB0044453, HMDB0044519, HMDB0044544, HMDB0044566, HMDB0044592, HMDB0044593, HMDB0044614",0.0456,1.5777,2.2151
TG(16:0_40:7),"HMDB0044107, HMDB0044135, HMDB0044182, HMDB0044188, HMDB0044269, HMDB0044274, HMDB0044296, HMDB0044329, HMDB0044350, HMDB0044356, HMDB0044371, HMDB0044377, HMDB0044431, HMDB0044438, HMDB0044458, HMDB0044492, HMDB0044539, HMDB0044545, HMDB0044572, HMDB0044598, HMDB0044620, HMDB0044621",0.041,2.34,3.7163
TG(16:0_40:8),"HMDB0005392, HMDB0044189, HMDB0044275, HMDB0044297, HMDB0044302, HMDB0044357, HMDB0044384, HMDB0044439, HMDB0044459, HMDB0044466, HMDB0044493, HMDB0044498, HMDB0044520, HMDB0044546, HMDB0044552, HMDB0044567, HMDB0044573, HMDB0044599, HMDB0044606, HMDB0044626",0.0577,0.596,1.1255
TG(16:1_28:0),NA,0.0405,2.92,6.4545
TG(16:1_30:1),NA,0.0258,4.7024,10.2568
TG(16:1_32:0),NA,0.1,7.6588,16.0668
TG(16:1_32:1),NA,0.1915,9.0784,16.7247
TG(16:1_32:2),NA,0.0469,7.6481,8.5233
TG(16:1_33:1),NA,0.0206,4.8711,12.0792
TG(16:1_34:0),NA,0.0161,3.9454,7.348
TG(16:1_34:1),NA,0.0399,26.9396,38.2142
TG(16:1_34:2),NA,0.0484,19.8217,26.2255
TG(16:1_34:3),NA,0.0731,5.108,6.6586
TG(16:1_36:1),NA,0.1262,3.9919,4.4241
TG(16:1_36:2),NA,0.1537,17.1485,27.9765
TG(16:1_36:3),NA,0.0867,17.6774,28.6767
TG(16:1_36:4),NA,0.0178,7.6273,11.4528
TG(16:1_36:5),NA,0.056,1.3408,1.7424
TG(16:1_38:3),NA,0.0316,0.6369,0.457
TG(16:1_38:4),NA,0.0634,0.6282,0.9085
TG(16:1_38:5),NA,0.0224,0.5633,1.2366
TG(17:0_32:1),NA,0.0427,5.6799,7.4395
TG(17:0_34:1),NA,0.0228,3.3413,4.1782
TG(17:0_34:2),NA,0.0723,2.103,3.6315
TG(17:0_34:3),NA,0.069,0.3608,0.9524
TG(17:0_36:3),NA,0.045,3.1211,3.8472
TG(17:0_36:4),NA,0.024,1.0255,1.3811
TG(17:1_32:1),NA,0.0532,4.6114,5.8561
TG(17:1_34:1),NA,0.0183,2.9351,4.5427
TG(17:1_34:2),NA,0.0837,2.0414,4.4175
TG(17:1_34:3),NA,0.0939,0.439,0.7976
TG(17:1_36:3),NA,0.0348,1.0065,2.2503
TG(17:1_36:4),NA,0.0475,0.5865,1.3874
TG(18:0_30:0),"HMDB0107858, HMDB0107859, HMDB0107860, HMDB0107861, HMDB0107908, HMDB0107909, HMDB0107910, HMDB0107911, HMDB0107994, HMDB0107995, HMDB0107996, HMDB0107997, HMDB0107998, HMDB0107999, HMDB0108000, HMDB0108001, HMDB0108130, HMDB0108131, HMDB0108132, HMDB0108133, HMDB0108134, HMDB0108135, HMDB0108136, HMDB0108137, HMDB0108138, HMDB0108139, HMDB0108140, HMDB0108141, HMDB0108142, HMDB0108143, HMDB0108144, HMDB0108145, HMDB0108146, HMDB0108147, HMDB0108274, HMDB0108275, HMDB0108276, HMDB0108277, HMDB0108278, HMDB0108279, HMDB0108281, HMDB0108398, HMDB0108399, HMDB0108400, HMDB0108401, HMDB0108402, HMDB0108403, HMDB0108404, HMDB0108405, HMDB0108406, HMDB0108407, HMDB0108408, HMDB0108409, HMDB0108410, HMDB0108411, HMDB0108412, HMDB0108413, HMDB0108414, HMDB0108415, HMDB0108550, HMDB0108551, HMDB0108552, HMDB0108553, HMDB0108554, HMDB0108555, HMDB0108556, HMDB0108557, HMDB0108664, HMDB0108665, HMDB0108666, HMDB0108667, HMDB0108668, HMDB0108669, HMDB0108670, HMDB0108671, HMDB0108672, HMDB0108673, HMDB0108674, HMDB0108675, HMDB0108676, HMDB0108677, HMDB0108678, HMDB0108679, HMDB0108680, HMDB0108681, HMDB0108824, HMDB0108825, HMDB0108826, HMDB0108827, HMDB0109021, HMDB0109022, HMDB0109023, HMDB0109024, HMDB0109305, HMDB0109306, HMDB0109307, HMDB0109308",0.0595,3.9063,5.8001
TG(18:0_30:1),"HMDB0010426, HMDB0044726",0.0623,1.4498,2.7774
TG(18:0_32:0),"HMDB0010427, HMDB0107862, HMDB0107863, HMDB0107918, HMDB0107919, HMDB0107920, HMDB0107921, HMDB0108010, HMDB0108011, HMDB0108012, HMDB0108013, HMDB0108014, HMDB0108015, HMDB0108016, HMDB0108017, HMDB0108160, HMDB0108161, HMDB0108162, HMDB0108163, HMDB0108164, HMDB0108165, HMDB0108166, HMDB0108167, HMDB0108168, HMDB0108169, HMDB0108170, HMDB0108171, HMDB0108294, HMDB0108295, HMDB0108296, HMDB0108297, HMDB0108298, HMDB0108299, HMDB0108300, HMDB0108301, HMDB0108428, HMDB0108429, HMDB0108430, HMDB0108431, HMDB0108432, HMDB0108433, HMDB0108434, HMDB0108435, HMDB0108436, HMDB0108437, HMDB0108438, HMDB0108439, HMDB0108440, HMDB0108441, HMDB0108442, HMDB0108443, HMDB0108444, HMDB0108445, HMDB0108570, HMDB0108571, HMDB0108572, HMDB0108573, HMDB0108574, HMDB0108575, HMDB0108577, HMDB0108694, HMDB0108695, HMDB0108696, HMDB0108697, HMDB0108698, HMDB0108699, HMDB0108700, HMDB0108701, HMDB0108702, HMDB0108703, HMDB0108704, HMDB0108705, HMDB0108706, HMDB0108707, HMDB0108708, HMDB0108709, HMDB0108710, HMDB0108711, HMDB0108834, HMDB0108835, HMDB0108836, HMDB0108837, HMDB0108917, HMDB0108918, HMDB0108919, HMDB0108920, HMDB0108921, HMDB0108922, HMDB0108923, HMDB0108924, HMDB0108925, HMDB0108926, HMDB0108927, HMDB0108928, HMDB0109025, HMDB0109026, HMDB0109027, HMDB0109028, HMDB0109029, HMDB0109030, HMDB0109031, HMDB0109032, HMDB0109309, HMDB0109310, HMDB0109311, HMDB0109312, HMDB0109419, HMDB0109420",0.0618,3.5542,4.9967
TG(18:0_32:1),"HMDB0010428, HMDB0010429, HMDB0044727, HMDB0044753, HMDB0044857",0.0294,4.9482,3.2593
TG(18:0_32:2),"HMDB0010430, HMDB0044863, HMDB0044864, HMDB0044889, HMDB0044915, HMDB0044942",0.0127,2.4989,3.2417
TG(18:0_34:2),"HMDB0044682, HMDB0044734, HMDB0044865, HMDB0044890, HMDB0044891, HMDB0044916, HMDB0044943, HMDB0044969",0.1665,12.2965,16.4939
TG(18:0_34:3),"HMDB0010432, HMDB0044677, HMDB0044683, HMDB0044735, HMDB0044871, HMDB0044896, HMDB0045078, HMDB0045131",0.0448,2.4834,4.0148
TG(18:0_36:1),"HMDB0005395, HMDB0010433, HMDB0044678, HMDB0044730, HMDB0044781, HMDB0044807, HMDB0044859, HMDB0044885, HMDB0044911, HMDB0044938",0.0452,5.1769,7.2779
TG(18:0_36:2),"HMDB0005397, HMDB0005403, HMDB0044685, HMDB0044736, HMDB0044867, HMDB0044892, HMDB0044917, HMDB0044918, HMDB0044944, HMDB0044970, HMDB0045023, HMDB0045073",0.058,12.409,14.5196
TG(18:0_36:3),"HMDB0005405, HMDB0044731, HMDB0044737, HMDB0044762, HMDB0044769, HMDB0044874, HMDB0044898, HMDB0044923, HMDB0045079, HMDB0045080, HMDB0045100, HMDB0045132, HMDB0045212, HMDB0045289",0.0799,14.0796,22.6732
TG(18:0_36:4),"HMDB0005411, HMDB0044686, HMDB0044738, HMDB0044744, HMDB0044770, HMDB0044893, HMDB0044899, HMDB0044924, HMDB0044931, HMDB0044951, HMDB0044958, HMDB0044997, HMDB0045106, HMDB0045107, HMDB0045159, HMDB0045295, HMDB0045296, HMDB0045316",0.0586,7.642,13.7745
TG(18:0_36:5),"HMDB0044687, HMDB0044692, HMDB0044745, HMDB0044875, HMDB0044900, HMDB0044906, HMDB0044932, HMDB0044959, HMDB0045086, HMDB0045093, HMDB0045112, HMDB0045186, HMDB0045239, HMDB0045301, HMDB0045322, HMDB0045323, HMDB0045348",0.0614,1.5092,2.8275
TG(18:0_38:6),"HMDB0005412, HMDB0044747, HMDB0044903, HMDB0044908, HMDB0044934, HMDB0044961, HMDB0045005, HMDB0045012, HMDB0045095, HMDB0045109, HMDB0045115, HMDB0045148, HMDB0045167, HMDB0045174, HMDB0045193, HMDB0045267, HMDB0045298, HMDB0045304, HMDB0045330, HMDB0045355, HMDB0045376, HMDB0045377, HMDB0045402",0.0514,0.4289,0.6455
TG(18:0_38:7),"HMDB0044909, HMDB0045013, HMDB0045096, HMDB0045116, HMDB0045122, HMDB0045175, HMDB0045194, HMDB0045201, HMDB0045305, HMDB0045311, HMDB0045325, HMDB0045331, HMDB0045356, HMDB0045363, HMDB0045382, HMDB0045429",0.0397,0.4731,0.2658
TG(18:1_26:0),NA,0.0146,1.5878,3.085
TG(18:1_28:1),NA,0.0282,1.3795,3.3055
TG(18:1_30:0),NA,0.058,13.6145,20.4243
TG(18:1_30:1),NA,0.0599,8.3912,13.5125
TG(18:1_30:2),NA,0.0126,2.2053,4.4066
TG(18:1_31:0),NA,0.0571,4.0823,9.4189
TG(18:1_32:0),NA,0.068,30.3865,60.385
TG(18:1_32:1),NA,0.0477,39.0294,73.0328
TG(18:1_32:2),NA,0.0338,14.4969,26.5592
TG(18:1_32:3),NA,0.0108,1.8887,3.6668
TG(18:1_33:0),NA,0.0172,3.8339,4.7256
TG(18:1_33:1),NA,0.0286,7.5992,10.4444
TG(18:1_33:2),NA,0.084,3.1195,4.4756
TG(18:1_34:1),NA,0.1184,167.5995,307.8948
TG(18:1_34:2),NA,0.0113,143.9652,246.9584
TG(18:1_34:3),NA,0.086,23.0627,45.045
TG(18:1_34:4),NA,0.0126,2.7489,5.9106
TG(18:1_35:2),NA,0.0647,4.0118,6.3351
TG(18:1_35:3),NA,0.0402,1.7594,3.0269
TG(18:1_36:0),NA,0.028,2.836,5.5742
TG(18:1_36:1),NA,0.0638,17.6498,34.5882
TG(18:1_36:2),NA,0.0334,97.8259,217.8662
TG(18:1_36:3),NA,0.0884,78.0621,170.7925
TG(18:1_36:4),NA,0.0681,38.193,79.9191
TG(18:1_36:5),NA,0.0988,10.698,19.6363
TG(18:1_36:6),NA,0.038,1.2897,2.0909
TG(18:1_38:5),NA,0.0135,2.5232,4.8972
TG(18:1_38:6),NA,0.017,1.465,2.0929
TG(18:1_38:7),NA,0.0098,0.8524,1.4543
TG(18:2_28:0),NA,0.016,2.4862,4.0673
TG(18:2_30:0),NA,0.0166,9.0541,11.9519
TG(18:2_30:1),NA,0.106,6.3518,7.5015
TG(18:2_31:0),NA,0.014,2.7395,4.138
TG(18:2_32:0),NA,0.0152,23.3837,39.9984
TG(18:2_32:1),NA,0.0157,26.0471,42.0179
TG(18:2_32:2),NA,0.0278,8.4525,14.2748
TG(18:2_33:0),NA,0.0602,2.2143,2.498
TG(18:2_33:1),NA,0.0557,5.6814,5.6819
TG(18:2_33:2),NA,0.081,2.5793,3.3529
TG(18:2_34:0),NA,0.102,18.5692,24.1976
TG(18:2_34:1),NA,0.0154,128.854,212.0099
TG(18:2_34:2),NA,0.0185,103.3851,168.4886
TG(18:2_34:3),NA,0.114,17.7376,29.2678
TG(18:2_34:4),NA,0.0748,2.0786,3.0418
TG(18:2_35:1),NA,0.044,2.9557,4.7885
TG(18:2_35:2),NA,0.085,2.6084,4.9233
TG(18:2_35:3),NA,0.1567,0.8015,1.9664
TG(18:2_36:0),NA,0.0643,2.5722,3.4443
TG(18:2_36:1),NA,0.0738,14.9341,23.371
TG(18:2_36:2),NA,0.0503,44.1761,91.7401
TG(18:2_36:3),NA,0.0191,55.9825,117.9757
TG(18:2_36:4),NA,0.0133,56.4609,127.3821
TG(18:2_36:5),NA,0.0418,14.4215,28.0015
TG(18:2_38:4),NA,0.0294,1.2046,2.58
TG(18:2_38:5),NA,0.0801,1.9228,2.5897
TG(18:2_38:6),NA,0.0199,1.0461,1.3744
TG(18:3_30:0),NA,0.045,0.9428,1.7902
TG(18:3_32:0),NA,0.0474,2.7006,5.0606
TG(18:3_32:1),NA,0.0536,3.0438,5.6432
TG(18:3_34:0),NA,0.0219,2.0079,3.033
TG(18:3_34:1),NA,0.0111,14.5915,25.8676
TG(18:3_34:2),NA,0.0615,12.6102,19.2445
TG(18:3_34:3),NA,0.0628,1.9695,4.0827
TG(18:3_36:1),NA,0.0171,1.8531,3.4646
TG(18:3_36:2),NA,0.0947,8.7806,15.8615
TG(18:3_36:3),NA,0.0959,11.31,19.5102
TG(18:3_36:4),NA,0.082,9.0164,19.8944
TG(18:3_38:5),NA,0.0515,0.2199,0.5929
TG(18:3_38:6),NA,0.0446,0.217,0.3352
TG(20:0_32:3),"HMDB0045489, HMDB0045496, HMDB0045670, HMDB0045870",0.0624,0.3553,0.7631
TG(20:0_32:4),"HMDB0045497, HMDB0045671, HMDB0045678, HMDB0045896, HMDB0046078",0.118,0.3578,0.9191
TG(20:1_26:1),NA,0.0529,0.1035,0.1112
TG(20:1_30:1),NA,0.0333,0.2175,0.2453
TG(20:1_32:1),NA,0.0561,0.7414,1.3223
TG(20:1_32:2),NA,0.079,1.3441,2.537
TG(20:1_32:3),NA,0.0297,0.0858,0.2346
TG(20:1_34:0),NA,0.0279,0.1664,1.0027
TG(20:1_34:1),NA,0.0409,1.1233,1.7225
TG(20:1_34:2),NA,0.0149,0.7775,1.5232
TG(20:1_34:3),NA,0.0641,0.3253,0.3932
TG(20:2_32:0),NA,0.1116,0.9832,1.4625
TG(20:2_32:1),NA,0.0841,1.1248,1.6303
TG(20:2_34:1),NA,0.0432,1.7609,2.4899
TG(20:2_34:2),NA,0.0865,0.9645,1.6702
TG(20:2_34:3),NA,0.0561,0.1697,0.4452
TG(20:3_32:0),NA,0.1135,0.7979,1.8522
TG(20:3_32:1),NA,0.0884,1.1449,2.1761
TG(20:3_32:2),NA,0.0174,0.1521,1.2463
TG(20:3_34:0),NA,0.033,0.5387,0.6182
TG(20:3_34:1),NA,0.0707,2.4736,3.6478
TG(20:3_34:2),NA,0.0447,1.002,3.2883
TG(20:3_34:3),NA,0.0262,0.3943,0.7481
TG(20:3_36:3),NA,0.031,1.2079,2.324
TG(20:3_36:4),NA,0.0128,0.3497,0.5876
TG(20:4_30:0),NA,0.0102,0.5562,0.7183
TG(20:4_32:0),NA,0.0347,1.2503,2.0044
TG(20:4_32:1),NA,0.0652,0.9282,2.3738
TG(20:4_32:2),NA,0.0124,0.4296,1.1705
TG(20:4_34:0),NA,0.0353,0.7197,1.5533
TG(20:4_34:1),NA,0.0303,4.5115,8.1148
TG(20:4_34:2),NA,0.0707,3.7528,7.463
TG(20:4_34:3),NA,0.0598,0.7655,2.1576
TG(20:4_36:2),NA,0.0223,3.5049,5.8563
TG(20:4_36:3),NA,0.0658,2.7549,4.9532
TG(20:4_36:4),NA,0.0128,0.9482,1.6955
TG(20:5_34:0),NA,0.0713,0.1825,0.3386
TG(20:5_34:1),NA,0.0784,1.2991,1.7759
TG(20:5_34:2),NA,0.0248,0.781,1.2229
TG(20:5_36:2),NA,0.0286,3.0455,0.9527
TG(20:5_36:3),NA,0.0301,1.9263,0.9794
TG(22:4_34:2),NA,0.0091,0.7479,0.8297
TG(22:5_32:0),NA,0.0217,1.1141,2.374
TG(22:5_34:1),NA,0.0314,1.6202,2.8406
TG(22:5_34:2),NA,0.0608,1.6062,2.2219
TG(22:6_32:0),NA,0.0626,0.4974,0.5666
TG(22:6_32:1),NA,0.023,0.6387,0.6481
TG(22:6_34:1),NA,0.0245,2.1428,2.1887
TG(22:6_34:2),NA,0.0144,2.2112,1.8126
Xanthine,HMDB0000292,0.4167,0.869,0.892
Uric acid,HMDB0000289,2.9278,352.4,292.4
p-Cresol sulfate,HMDB0011635,0.4347,10.12,42.13
Propionic acid,HMDB0000237,0.0573,0.93,1.099
Butyric acid + Isobutyric acid,HMDB0000039 + HMDB0001873,0.0835,0.357,0.287
Lactic acid,HMDB0000190,1.9973,1941,2697
Valeric acid + Isovaleric acid,HMDB0000892 + HMDB0000718,0.1116,1.258,1.359
3-Aminoisobutyric acid,HMDB0003911,0.24,0.646,0.826
Dimethylglycine,HMDB0000092,0.1576,5.359,7.393
2-Hydroxybutyric acid,HMDB0000008,0.1152,55,63.75
2-Hydroxyisobutyric acid,HMDB0000729,0.0223,1.599,0.884
3-Hydroxybutyric acid,HMDB0000011,0.2235,129,114.2
3-Hydroxyisobutyric acid,HMDB0000336,0.25,14.74,16.39
Glyceric acid,HMDB0000139,0.0084,12.21,4.321
Guanidoacetic acid,HMDB0000128,0.1351,2.905,5.445
N-Acetyl-Glycine,HMDB0000532,0.0605,3.234,3.173
2-Hydroxyisovaleric acid,HMDB0000407,0.01,6.483,5.83
3-Hydroxyisovaleric acid,HMDB0000754,0.0879,3.099,3.49
5-Oxoproline,HMDB0000267,0.1345,87.06,128.4
Pipecolic acid,HMDB0000070,0.0527,4.526,7.273
N-Acetyl-Alanine,HMDB0000766,0.0315,2.119,1.856
2-Hydroxy-3-methylvaleric acid,HMDB0000317,0.0176,0.627,0.78
Phenylacetic acid,HMDB0000209,0.0232,0.508,0.384
Threonic acid,HMDB0000943,0.5844,7.642,5.998
Caprylic acid,HMDB0000482,0.1328,0.336,0.473
N-Acetyl-Serine,HMDB0002931,0.0286,0.871,0.952
4-Hydroxyphenylacetic acid,HMDB0000020,0.1,0.664,0.391
N-Acetyl-Proline,HMDB0094701,0.0131,0.074,0.059
N-Acetyl-Valine,HMDB0011757,0.0347,0.045,0.054
N-Acetyl-Asparagine,HMDB0006028,0.05,0.158,0.171
3-Indoleacetic acid,HMDB0000197,0.0568,2.479,1.448
Argininic acid,HMDB0003148,0.219,3.529,3.511
Hippuric acid,HMDB0000714,0.0327,11.22,0.685
HPHPA,HMDB0002643,0.0019,0.17,0.773
N1-Acetyl-Lysine,HMDB0000446,0.06,0.118,0.116
